Код;Артикул;Артикул1;Артикул2;Номенклатура;Артикул производителя;Группа доступа;Производитель
001696665;CREATEK-CK9838;CREATEK;CK9838;Резиновый шланг с волокнистой прослойкой;CK9838;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696666;CREATEK-CK9900;CREATEK;CK9900;Двигатель в сборе;CK9900;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696667;CREATEK-CK9900B;CREATEK;CK9900B;Двигатель в сборе;CK9900B;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696668;CREATEK-CK9900C;CREATEK;CK9900C;Двигатель в сборе;CK9900C;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696669;CREATEK-CK9906;CREATEK;CK9906;Колпачек маслосъемный новая модель;CK9906;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696670;CREATEK-CK9907H;CREATEK;CK9907H;Компрессор воздушный;CK9907H;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696671;CREATEK-CK9950H;CREATEK;CK9950H;Шорт блок (после промывки);CK9950H;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696672;CREATEK-CK1017A;CREATEK;CK1017A;Прокладка турбины;CK1017A;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696673;CREATEK-CK1064A;CREATEK;CK1064A;Прокладка крышки масляного охладителя;CK1064A;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696674;CREATEK-CK1071A;CREATEK;CK1071A;Прокладка крышки масляного охладителя;CK1071A;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696675;CREATEK-CK1146A;CREATEK;CK1146A;Пробка поддона двигателя;CK1146A;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696676;CREATEK-CK1147A;CREATEK;CK1147A;Кольцо уплотнительное пробки масляного поддона;CK1147A;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696677;CREATEK-CK1175;CREATEK;CK1175;Прокладка выпускного коллектора;CK1175;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696678;CREATEK-CK1291A;CREATEK;CK1291A;Шайба форсунки медная;CK1291A;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696679;CREATEK-CK1393;CREATEK;CK1393;О-образное кольцо;CK1393;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696680;CREATEK-CK1402;CREATEK;CK1402;Прокладка турбины;CK1402;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696681;CREATEK-CK1404;CREATEK;CK1404;Прокладка филтра масляного;CK1404;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696682;CREATEK-CK1433;CREATEK;CK1433;Подшипник шариковый;CK1433;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696683;CREATEK-CK1487;CREATEK;CK1487;Прокладка турбины;CK1487;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696684;CREATEK-CK1833;CREATEK;CK1833;Труба топливная обратки в сборе;CK1833;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696685;CREATEK-CK1836;CREATEK;CK1836;Топливная трубка;CK1836;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696686;CREATEK-CK2296;CREATEK;CK2296;Прокладка выпускного коллектора;CK2296;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696687;CREATEK-CK2363;CREATEK;CK2363;Прокладка корпуса масляного радиатора;CK2363;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696688;CREATEK-CK2424;CREATEK;CK2424;Ремень;CK2424;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696689;CREATEK-CK2510;CREATEK;CK2510;О-образное кольцо;CK2510;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696690;CREATEK-CK2548;CREATEK;CK2548;Ремень;CK2548;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696691;CREATEK-CK2549;CREATEK;CK2549;Ремень;CK2549;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696692;CREATEK-CK3067;CREATEK;CK3067;ТНВД 240 л.с;CK3067;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696693;CREATEK-CK3068;CREATEK;CK3068;ТНВД 280 л.с;CK3068;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696694;CREATEK-CK3104;CREATEK;CK3104;Прокладка поддона;CK3104;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696695;CREATEK-CK3156;CREATEK;CK3156;Приводная шестерня топливного насоса;CK3156;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696696;CREATEK-CK3182;CREATEK;CK3182;Ремень;CK3182;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696697;CREATEK-CK3183;CREATEK;CK3183;ТНВД;CK3183;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696698;CREATEK-CK3184;CREATEK;CK3184;Ремень;CK3184;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696699;CREATEK-CK3185;CREATEK;CK3185;Ремень;CK3185;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696700;CREATEK-CK3186;CREATEK;CK3186;Ремень;CK3186;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696701;CREATEK-CK3235;CREATEK;CK3235;Ремень;CK3235;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696702;CREATEK-CK3240;CREATEK;CK3240;ТНВД;CK3240;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696703;CREATEK-CK3271;CREATEK;CK3271;Топливопровод высокого давления первого цилиндра в;CK3271;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696704;CREATEK-CK3272;CREATEK;CK3272;Топливопровод высокого давления второго цилиндра в;CK3272;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696705;CREATEK-CK3273;CREATEK;CK3273;Топливопровод высокого давления третьего цилиндра;CK3273;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696706;CREATEK-CK3274;CREATEK;CK3274;Топливопровод высокого давления четвертого цилиндр;CK3274;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696707;CREATEK-CK3275;CREATEK;CK3275;Топливопровод высокого давления пятого цилиндра в;CK3275;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696708;CREATEK-CK3276;CREATEK;CK3276;Топливопровод высокого давления шестого цилиндра в;CK3276;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696709;CREATEK-CK3277;CREATEK;CK3277;Топливопровод высокого давления;CK3277;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696710;CREATEK-CK3278;CREATEK;CK3278;Топливопровод высокого давления;CK3278;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696711;CREATEK-CK3322;CREATEK;CK3322;Прокладка выпускного коллектора;CK3322;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696712;CREATEK-CK3329;CREATEK;CK3329;Прокладка поддона;CK3329;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696713;CREATEK-CK3333;CREATEK;CK3333;Ремень;CK3333;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696714;CREATEK-CK3337;CREATEK;CK3337;Топливопровод высокого давления комп;CK3337;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696715;CREATEK-CK3338;CREATEK;CK3338;Топливопровод высокого давления;CK3338;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696716;CREATEK-CK3339;CREATEK;CK3339;Топливопровод высокого давления;CK3339;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696717;CREATEK-CK3343;CREATEK;CK3343;Штуцер топливный;CK3343;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696718;CREATEK-CK3345;CREATEK;CK3345;Ремень;CK3345;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696719;CREATEK-CK3346;CREATEK;CK3346;Топливопровод высокого давления в сборе;CK3346;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696720;CREATEK-CK3347;CREATEK;CK3347;Топливопровод высокого давления;CK3347;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696721;CREATEK-CK3348;CREATEK;CK3348;Топливопровод высокого давления;CK3348;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696722;CREATEK-CK3353;CREATEK;CK3353;Топливный фильтр;CK3353;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696723;CREATEK-CK3362;CREATEK;CK3362;Масляный насос в сборе;CK3362;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696724;CREATEK-CK3377;CREATEK;CK3377;Топливный фильтр грубой очистки;CK3377;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696725;CREATEK-CK3382;CREATEK;CK3382;Радиатор масляный (теплообменник);CK3382;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696726;CREATEK-CK3389;CREATEK;CK3389;Ремень;CK3389;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696727;CREATEK-CK3434;CREATEK;CK3434;Топливный фильтр;CK3434;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696728;CREATEK-CK3435;CREATEK;CK3435;Фильтр маслянный;CK3435;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696729;CREATEK-CK3436;CREATEK;CK3436;Топливный фильтр;CK3436;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696730;CREATEK-CK3444;CREATEK;CK3444;Масляный насос в сборе;CK3444;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696731;CREATEK-CK3446;CREATEK;CK3446;Ремень;CK3446;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696732;CREATEK-CK3455;CREATEK;CK3455;Ремень;CK3455;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696733;CREATEK-CK3483;CREATEK;CK3483;Ремень;CK3483;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696734;CREATEK-CK3484;CREATEK;CK3484;Ремень;CK3484;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696735;CREATEK-CK3505;CREATEK;CK3505;Ремкомплект маслянного насоса;CK3505;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696736;CREATEK-CK3511;CREATEK;CK3511;Насос топливоподкачивающий;CK3511;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696737;CREATEK-CK3517;CREATEK;CK3517;ТНВД;CK3517;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696738;CREATEK-CK3518;CREATEK;CK3518;ТНВД;CK3518;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696739;CREATEK-CK3520;CREATEK;CK3520;Фильтр топливный (с электронагревом и стаканом);CK3520;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696740;CREATEK-CK3527;CREATEK;CK3527;ТНВД;CK3527;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696741;CREATEK-CK3528;CREATEK;CK3528;Топливопровод высокого давления в сборе;CK3528;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696742;CREATEK-CK3530;CREATEK;CK3530;Генератор;CK3530;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696743;CREATEK-CK3539;CREATEK;CK3539;Фильтр топливный (без стакана);CK3539;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696744;CREATEK-CK3540;CREATEK;CK3540;Плунжерная пара;CK3540;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696745;CREATEK-CK3556;CREATEK;CK3556;ТНВД 380 л.с;CK3556;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696746;CREATEK-CK3566;CREATEK;CK3566;Трубка подачи масла;CK3566;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696747;CREATEK-CK3567;CREATEK;CK3567;Топливопровод высокого давления в сборе;CK3567;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696748;CREATEK-CK3568;CREATEK;CK3568;Топливопровод высокого давления в сборе;CK3568;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696749;CREATEK-CK3569;CREATEK;CK3569;Топливопровод высокого давления в сборе;CK3569;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696750;CREATEK-CK3573;CREATEK;CK3573;Шестерня масляного насоса;CK3573;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696751;CREATEK-CK3576;CREATEK;CK3576;Шестерня ТНВД;CK3576;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696752;CREATEK-CK3603;CREATEK;CK3603;Прокладка турбины;CK3603;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696753;CREATEK-CK3604;CREATEK;CK3604;Генератор;CK3604;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696754;CREATEK-CK3605;CREATEK;CK3605;Генератор;CK3605;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696755;CREATEK-CK3606;CREATEK;CK3606;Генератор;CK3606;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696756;CREATEK-CK3607;CREATEK;CK3607;Генератор;CK3607;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696757;CREATEK-CK3608;CREATEK;CK3608;Генератор;CK3608;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696758;CREATEK-CK3609;CREATEK;CK3609;Генератор;CK3609;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696759;CREATEK-CK3610;CREATEK;CK3610;Стартер;CK3610;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696760;CREATEK-CK3611;CREATEK;CK3611;Турбина;CK3611;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696761;CREATEK-CK3612;CREATEK;CK3612;Турбина;CK3612;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696762;CREATEK-CK3613;CREATEK;CK3613;Турбина;CK3613;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696763;CREATEK-CK3614;CREATEK;CK3614;Ремень;CK3614;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696764;CREATEK-CK3615;CREATEK;CK3615;Ремень;CK3615;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696765;CREATEK-CK3616;CREATEK;CK3616;Ремень;CK3616;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696766;CREATEK-CK3617;CREATEK;CK3617;Ремень;CK3617;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696767;CREATEK-CK3619;CREATEK;CK3619;ТНВД;CK3619;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696768;CREATEK-CK3625;CREATEK;CK3625;Прокладка турбины;CK3625;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696769;CREATEK-CK3626;CREATEK;CK3626;Прокладка турбины;CK3626;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696770;CREATEK-CK3632;CREATEK;CK3632;Поддон масляного картера двигателя в сборе;CK3632;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696771;CREATEK-CK3635;CREATEK;CK3635;Генератор;CK3635;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696772;CREATEK-CK3665;CREATEK;CK3665;Ремень;CK3665;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696773;CREATEK-CK3671;CREATEK;CK3671;Генератор;CK3671;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696774;CREATEK-CK3672;CREATEK;CK3672;Фильтр маслянный;CK3672;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696775;CREATEK-CK3673;CREATEK;CK3673;Топливный фильтр;CK3673;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696776;CREATEK-CK3674;CREATEK;CK3674;Топливный фильтр;CK3674;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696777;CREATEK-CK3675;CREATEK;CK3675;Топливный фильтр;CK3675;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696778;CREATEK-CK3676;CREATEK;CK3676;Топливный фильтр;CK3676;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696779;CREATEK-CK3677;CREATEK;CK3677;Топливный фильтр;CK3677;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696780;CREATEK-CK3678;CREATEK;CK3678;Топливный фильтр;CK3678;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696781;CREATEK-CK3679;CREATEK;CK3679;Топливный фильтр;CK3679;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696782;CREATEK-CK3680;CREATEK;CK3680;Топливный фильтр;CK3680;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696783;CREATEK-CK3681;CREATEK;CK3681;Фильтр масляный;CK3681;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696784;CREATEK-CK3682;CREATEK;CK3682;Топливный фильтр;CK3682;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696785;CREATEK-CK3683;CREATEK;CK3683;Топливный фильтр;CK3683;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696786;CREATEK-CK3684;CREATEK;CK3684;Топливный фильтр;CK3684;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696787;CREATEK-CK3692;CREATEK;CK3692;Фильтр маслянный;CK3692;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696788;CREATEK-CK3716;CREATEK;CK3716;Стартер;CK3716;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696789;CREATEK-CK3717;CREATEK;CK3717;Генератор;CK3717;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696790;CREATEK-CK3728;CREATEK;CK3728;Болт генератора;CK3728;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696791;CREATEK-CK3747;CREATEK;CK3747;ТНВД;CK3747;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696792;CREATEK-CK3770;CREATEK;CK3770;Рампа топливная рейка;CK3770;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696793;CREATEK-CK3775;CREATEK;CK3775;Ремень;CK3775;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696794;CREATEK-CK3796;CREATEK;CK3796;Мотор в сборе(электрический тннд );CK3796;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696795;CREATEK-CK3806H;CREATEK;CK3806H;Турбина;CK3806H;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696796;CREATEK-CK3806HM;CREATEK;CK3806HM;Турбина;CK3806HM;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696797;CREATEK-CK3815H;CREATEK;CK3815H;Турбина;CK3815H;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696798;CREATEK-CK3815HM;CREATEK;CK3815HM;Турбина;CK3815HM;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696799;CREATEK-CK3832H;CREATEK;CK3832H;Турбина;CK3832H;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696800;CREATEK-CK3832HM;CREATEK;CK3832HM;Турбина;CK3832HM;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696801;CREATEK-CK3835;CREATEK;CK3835;Топливный фильтр;CK3835;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696802;CREATEK-CK3842;CREATEK;CK3842;Фильтр маслянный;CK3842;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696803;CREATEK-CK3851;CREATEK;CK3851;Ремень;CK3851;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696804;CREATEK-CK3853;CREATEK;CK3853;ТНВД;CK3853;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696805;CREATEK-CK3856;CREATEK;CK3856;Ремень;CK3856;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696806;CREATEK-CK4004;CREATEK;CK4004;Выпускной коллектор;CK4004;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696807;CREATEK-CK4006;CREATEK;CK4006;О-образное кольцо;CK4006;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696808;CREATEK-CK4009;CREATEK;CK4009;Шестерня масляного насоса;CK4009;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696809;CREATEK-CK4015;CREATEK;CK4015;Маслозаборник в сборе;CK4015;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696810;CREATEK-CK4016;CREATEK;CK4016;Патрубок турбины;CK4016;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696811;CREATEK-CK4021;CREATEK;CK4021;Патрубок компрессора;CK4021;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696812;CREATEK-CK4034;CREATEK;CK4034;Втулка шестерни масляного насоса;CK4034;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696813;CREATEK-CK4053;CREATEK;CK4053;Горный тормоз;CK4053;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696814;CREATEK-CK4054;CREATEK;CK4054;Выпускная изогнутая труба;CK4054;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696815;CREATEK-CK4055;CREATEK;CK4055;Выпускной коллектор;CK4055;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696816;CREATEK-CK4085;CREATEK;CK4085;Клапан тормозной воздушный редукционный;CK4085;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696817;CREATEK-CK4088;CREATEK;CK4088;Шланг высокого давления;CK4088;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696818;CREATEK-CK4089;CREATEK;CK4089;Шланг высокого давления;CK4089;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696819;CREATEK-CK4090;CREATEK;CK4090;Шланг высокого давления;CK4090;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696820;CREATEK-CK4091;CREATEK;CK4091;Шланг высокого давления;CK4091;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696821;CREATEK-CK4092;CREATEK;CK4092;Шланг высокого давления;CK4092;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696822;CREATEK-CK4093;CREATEK;CK4093;Шланг высокого давления;CK4093;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696823;CREATEK-CK4094;CREATEK;CK4094;Шланг высокого давления;CK4094;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696824;CREATEK-CK4119;CREATEK;CK4119;ТНВД;CK4119;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696825;CREATEK-CK4134;CREATEK;CK4134;Двусторонняя шпилька;CK4134;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696826;CREATEK-CK4135;CREATEK;CK4135;Шпилька турбины;CK4135;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696827;CREATEK-CK4139;CREATEK;CK4139;Фильтр маслянный;CK4139;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696828;CREATEK-CK4140;CREATEK;CK4140;Топливный фильтр;CK4140;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696829;CREATEK-CK4141;CREATEK;CK4141;Топливный фильтр;CK4141;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696830;CREATEK-CK4157;CREATEK;CK4157;Топливный фильтр;CK4157;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696831;CREATEK-CK4158;CREATEK;CK4158;Топливный фильтр;CK4158;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696832;CREATEK-CK4159;CREATEK;CK4159;Топливный фильтр;CK4159;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696833;CREATEK-CK4161;CREATEK;CK4161;Топливный фильтр;CK4161;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696834;CREATEK-CK4162;CREATEK;CK4162;Топливный фильтр;CK4162;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696835;CREATEK-CK4163;CREATEK;CK4163;Топливный фильтр;CK4163;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696836;CREATEK-CK4164;CREATEK;CK4164;Топливный фильтр;CK4164;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696837;CREATEK-CK4165;CREATEK;CK4165;Топливный фильтр;CK4165;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696838;CREATEK-CK4167;CREATEK;CK4167;Фильтр масляный;CK4167;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696839;CREATEK-CK4168;CREATEK;CK4168;Фильтр масляный;CK4168;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696840;CREATEK-CK4169;CREATEK;CK4169;Фильтр масляный;CK4169;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696841;CREATEK-CK4173;CREATEK;CK4173;Фильтр маслянный;CK4173;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696842;CREATEK-CK4174;CREATEK;CK4174;Топливный фильтр тонкой очистки;CK4174;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696843;CREATEK-CK4175;CREATEK;CK4175;Топливный фильтр;CK4175;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696844;CREATEK-CK4176;CREATEK;CK4176;Фильтр масляный сапуна;CK4176;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696845;CREATEK-CK4178;CREATEK;CK4178;Ремень;CK4178;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696846;CREATEK-CK4179;CREATEK;CK4179;Трубка топливная обратная;CK4179;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696847;CREATEK-CK4187;CREATEK;CK4187;Распылитель форсунки;CK4187;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696848;CREATEK-CK4190;CREATEK;CK4190;Коллектор впускной;CK4190;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696849;CREATEK-CK4191;CREATEK;CK4191;Патрубок впускной;CK4191;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696850;CREATEK-CK4192;CREATEK;CK4192;Маслозаборник в сборе;CK4192;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696851;CREATEK-CK4235;CREATEK;CK4235;Топливный фильтр;CK4235;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696852;CREATEK-CK4238;CREATEK;CK4238;Фильтр мочевины;CK4238;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696853;CREATEK-CK4239;CREATEK;CK4239;Датчик уровня и подогрева мачевины;CK4239;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696854;CREATEK-CK4255;CREATEK;CK4255;Топливный фильтр;CK4255;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696855;CREATEK-CK4487;CREATEK;CK4487;Блок дозировочный ТНВД;CK4487;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696856;CREATEK-CK4488;CREATEK;CK4488;Клапан ограничения давления;CK4488;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696857;CREATEK-CK4489;CREATEK;CK4489;ТНВД;CK4489;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696858;CREATEK-CK4513;CREATEK;CK4513;Уплотнительная прокладка;CK4513;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696859;CREATEK-CK4542;CREATEK;CK4542;Крышка масляного радиатора;CK4542;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001696860;CREATEK-CK4543H;CREATEK;CK4543H;Турбина;CK4543H;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
