Код;Артикул;Артикул1;Артикул2;Номенклатура;Артикул производителя;Группа доступа;Производитель
001672675;CREATEK-CK8352;CREATEK;CK8352;Ремкомплект цилиндра переключения передач кпп FULLER CREATEK 14345/14765/14344-2-CK;CK8352;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672676;CREATEK-CK8356;CREATEK;CK8356;Ремень ручейковый 10PK1068 CREATEK Евро-5 612600061361-CK;CK8356;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672677;CREATEK-CK8364;CREATEK;CK8364;Подшипник выжимной BAW-1044 FENIX Евро-3 CREATEK 986806K2 986809K2-CK;CK8364;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672678;CREATEK-CK8404;CREATEK;CK8404;Клапан ТНВД Евро-2 VG2600080213 CREATEK CK8404;CK8404;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672679;CREATEK-CK8430;CREATEK;CK8430;Муфта ТНВД (двухцилиндровый компрессор) CREATEK VG1560080300;CK8430;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672680;CREATEK-CK8434;CREATEK;CK8434;Болт крепления пластины муфты ТНВД CREATEK VG1560080219-Z-CK;CK8434;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672681;CREATEK-CK8442;CREATEK;CK8442;Распредвал WP10 WD615 WD618 61560050096 VG1500050097 CREATEK CK8442;CK8442;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672682;CREATEK-CK8466;CREATEK;CK8466;Турбина (турбокомпрессор) FAW 8 болтов CREATEK 1118010-670-0000H-CK;CK8466;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672683;CREATEK-CK8467;CREATEK;CK8467;Радиатор масляный 61500010334 VG1500010335 (теплообменник) CREATEK CK8467;CK8467;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672684;CREATEK-CK8471;CREATEK;CK8471;Заклепка 6х22 FAW 2011 CREATEK 6*22-CK (Цена за упаковку 100 штук);CK8471;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
001672685;CREATEK-CK8509B;CREATEK;CK8509B;Накладка тормозная передняя MAN SHAANXI (комплект на ось) с заклепками CREATEK 81.50221.0535/40-CK;CK8509B;Группа по умолчанию (создана при переходе на 11.0.7);CREATEK
